year,species
2016,Phasianus colchicus
2016,Turdus pallidus
2016,Turdus pallidus
2017,Accipiter trivirgatus
2017,Alcedo atthis
2017,Passer montanus
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Pycnonotus sinensis
2017,Psilopogon nuchalis
2017,Streptopelia chinensis
2017,Streptopelia orientalis
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Accipiter virgatus
2017,Turdus chrysolaus
2017,Turdus pallidus
2017,Streptopelia chinensis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Streptopelia orientalis
2017,Alcedo atthis
2017,Accipiter trivirgatus
2017,Psilopogon nuchalis
2017,Oriolus traillii
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Accipiter trivirgatus
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Passer montanus
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Pycnonotus sinensis
2017,Streptopelia orientalis
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Otus lettia
2017,Chalcophaps indica
2017,Passer montanus
2017,Passer montanus
2017,Phasianus colchicus
2017,Chalcophaps indica
2017,Streptopelia tranquebarica
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Streptopelia chinensis
2017,Turdus pallidus
2017,Halcyon coromanda
2017,Myiomela leucura
2017,Chalcophaps indica
2017,Zoothera sp.
2017,Passer montanus
2017,Pycnonotus sinensis
2017,Accipiter soloensis
2017,Passer montanus
2017,Passer montanus
2017,Alcedo atthis
2017,Hirundo rustica
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Zosterops simplex
2017,Halcyon coromanda
2017,Pycnonotus sinensis
2017,Turdus chrysolaus
2017,Accipiter virgatus
2017,Pitta nympha
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Myiomela leucura
2017,Bubulcus ibis
2017,Otus lettia
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Lonchura punctulata
2017,Streptopelia chinensis
2017,Aplonis panayensis
2017,Passer montanus
2017,Pandion haliaetus
2017,Alcedo atthis
2017,Locustella ochotensis
2017,Alcedo atthis
2017,Sitta europaea
2017,Hypsipetes leucocephalus
2017,Bambusicola sonorivox
2017,Lonchura striata
2017,Streptopelia tranquebarica
2017,Passer montanus
2017,Pycnonotus sinensis
2017,Cuculus optatus
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Halcyon coromanda
2017,Streptopelia chinensis
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Chalcophaps indica
2017,Myiomela leucura
2017,Bambusicola sonorivox
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Passer montanus
2017,Streptopelia tranquebarica
2017,Arborophila crudigularis
2017,Arborophila crudigularis
2017,Nycticorax nycticorax
2017,Falco peregrinus
2017,Psilopogon nuchalis
2017,Hypsipetes amaurotis
2017,Chalcophaps indica
2017,Treron sieboldii
2017,Alcedo atthis
2017,Alcedo atthis
2017,Psilopogon nuchalis
2017,Streptopelia chinensis
2017,Streptopelia chinensis
2017,Streptopelia chinensis
2017,Clamator coromandus
2017,Alcedo atthis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Aplonis panayensis
2017,Pitta nympha
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Zosterops simplex
2017,Accipiter trivirgatus
2017,Zosterops simplex
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Amaurornis phoenicurus
2017,Streptopelia tranquebarica
2017,Passer montanus
2017,Chalcophaps indica
2017,Alcedo atthis
2017,Lonchura punctulata
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Aplonis panayensis
2017,Psilopogon nuchalis
2017,Psilopogon nuchalis
2017,Urocissa caerulea
2017,Myophonus insularis
2017,Chalcophaps indica
2017,Turnix suscitator
2017,Psilopogon nuchalis
2017,Pycnonotus sinensis
2017,Streptopelia chinensis
2017,Passer montanus
2017,Streptopelia chinensis
2017,Streptopelia chinensis
2017,Lonchura punctulata
2017,Alcedo atthis
2017,Lanius cristatus
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Alcedo atthis
2017,Halcyon coromanda
2017,Clamator coromandus
2017,Psilopogon nuchalis
2017,Halcyon coromanda
2017,Cuculus optatus
2017,Chalcophaps indica
2017,Gorsachius melanolophus
2017,Ninox japonica
2017,Cuculus optatus
2017,Phylloscopus borealis complex
2017,Passer montanus
2017,Accipiter trivirgatus
2017,Accipiter trivirgatus
2017,Tarsiger johnstoniae
2017,Urosphena squameiceps
2017,Accipiter trivirgatus
2017,Alcedo atthis
2017,Hirundo rustica
2017,Urosphena squameiceps
2017,Emberiza rustica
2017,Falco tinnunculus
2017,Ninox japonica
2017,Ninox japonica
2017,Ninox japonica
2017,Ninox japonica
2017,Accipiter virgatus
2017,Streptopelia orientalis
2017,Psilopogon nuchalis
2017,Accipiter virgatus
2017,Passer montanus
2017,Passer montanus
2017,Acridotheres tristis
2017,Streptopelia chinensis
2017,Myiomela leucura
2017,Halcyon coromanda
2017,Myophonus insularis
2017,Zosterops simplex
2017,Psilopogon nuchalis
2017,Columba livia
2017,Accipiter trivirgatus
2017,Psilopogon nuchalis
2017,Niltava vivida
2017,Myiomela leucura
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Turdus pallidus
2017,Streptopelia orientalis
2017,Psilopogon nuchalis
2017,Psilopogon nuchalis
2017,Hypsipetes leucocephalus
2017,Turdus pallidus
2017,Nycticorax nycticorax
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Turdus pallidus
2017,Alcedo atthis
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Turdus chrysolaus
2017,Turdus pallidus
2017,Horornis canturians
2017,Psilopogon nuchalis
2017,Turdus pallidus
2017,Zoothera aurea
2017,Lanius cristatus
2017,Accipiter virgatus
2017,Turdus chrysolaus
2017,Zoothera aurea
2017,Psilopogon nuchalis
2017,Lonchura punctulata
2017,Lonchura punctulata
2017,Accipiter trivirgatus
2017,Anthus hodgsoni
2017,Turdus pallidus
2017,Streptopelia chinensis
2017,Hypsipetes leucocephalus
2017,Streptopelia sp.
2017,Columba livia
2017,Streptopelia chinensis
2017,Accipiter trivirgatus
2017,Niltava vivida
2017,Psilopogon nuchalis
2017,Identified to Class: Aves
2017,Acridotheres cristatellus
2017,Urocissa caerulea
2017,Halcyon coromanda
2017,Streptopelia chinensis
2017,Monticola solitarius
2018,Psilopogon nuchalis
2018,Psilopogon nuchalis
2018,Streptopelia chinensis
2018,Passer montanus
2018,Passer montanus
2018,Psilopogon nuchalis
2018,Identified to Family: Columbidae
2018,Accipiter trivirgatus
2018,Zoothera aurea
2018,Chalcophaps indica
2018,Zoothera sp.
2018,Chalcophaps indica
2018,Hirundo tahitica
2018,Motacilla cinerea
2018,Passer montanus
2018,Lonchura punctulata
2018,Streptopelia chinensis
2018,Psilopogon nuchalis
2018,Turdus chrysolaus
2018,Zosterops simplex
2018,Psilopogon nuchalis
2018,Psilopogon nuchalis
2018,Accipiter trivirgatus
2018,Chalcophaps indica
2018,Psilopogon nuchalis
2018,Chalcophaps indica
2018,Streptopelia orientalis
2018,Phasianus colchicus
2018,Caprimulgus affinis
2018,Zoothera aurea
2018,Streptopelia chinensis
2018,Pycnonotus sinensis
2018,Passer montanus
2018,Phasianus colchicus
2018,Treron sieboldii
2018,Hypsipetes leucocephalus
2018,Pycnonotus sinensis
2018,Phasianus colchicus
2018,Accipiter trivirgatus
2018,Passer montanus
2018,Pycnonotus taivanus
2018,Accipiter virgatus
2018,Alcedo atthis
2018,Alcedo atthis
2018,Psilopogon nuchalis
2018,Hypothymis azurea
2018,Streptopelia tranquebarica
2018,Pycnonotus sinensis
2018,Streptopelia orientalis
2018,Bambusicola sonorivox
2018,Psilopogon nuchalis
2018,Chalcophaps indica
2018,Heterophasia auricularis
2018,Streptopelia chinensis
2018,Psilopogon nuchalis
2018,Turdus pallidus
2018,Chalcophaps indica
2018,Hypsipetes leucocephalus
2018,Accipiter trivirgatus
2018,Streptopelia chinensis
2018,Chalcophaps indica
2018,Niltava vivida
2018,Chalcophaps indica
2018,Chalcophaps indica
2018,Horornis acanthizoides
2018,Accipiter soloensis
2018,Accipiter soloensis
2018,Streptopelia orientalis
2018,Hypsipetes leucocephalus
2018,Streptopelia tranquebarica
2018,Chalcophaps indica
2018,Psilopogon nuchalis
2018,Alcedo atthis
2018,Passer montanus
2018,Halcyon coromanda
2018,Halcyon coromanda
2018,Streptopelia chinensis
2018,Zosterops simplex
2018,Myophonus insularis
2018,Hypsipetes leucocephalus
2018,Chalcophaps indica
2018,Halcyon coromanda
2018,Chalcophaps indica
2018,Zoothera aurea
2018,Halcyon coromanda
2018,Hirundo rustica
2018,Pycnonotus sinensis
2018,Lonchura punctulata
2018,Hirundo rustica
2018,Lonchura striata
2018,Halcyon coromanda
2018,Streptopelia orientalis
2018,Dicrurus macrocercus
2018,Dicrurus macrocercus
2018,Passer montanus
2018,Passer montanus
2018,Pycnonotus sinensis
2018,Hirundo rustica
2018,Accipiter trivirgatus
2018,Alcedo atthis
2018,Alcedo atthis
2018,Nycticorax nycticorax
2018,Alcedo atthis
2018,Passer montanus
2018,Psilopogon nuchalis
2018,Pycnonotus sinensis
2018,Psilopogon nuchalis
2018,Pomatorhinus musicus
2018,Alcedo atthis
2018,Passer montanus
2018,Alcedo atthis
2018,Psilopogon nuchalis
2018,Streptopelia chinensis
2018,Tarsiger johnstoniae
2018,Alcedo atthis
2018,Alcedo atthis
2018,Passer montanus
2018,Psilopogon nuchalis
2018,Passer montanus
2018,Chalcophaps indica
2018,Chalcophaps indica
2018,Cyanoderma ruficeps
2018,Chalcophaps indica
2018,Psilopogon nuchalis
2018,Alcedo atthis
2018,Passer montanus
2018,Psilopogon nuchalis
2018,Psilopogon nuchalis
2018,Alcedo atthis
2018,Zosterops simplex
2018,Zosterops simplex
2018,Alcedo atthis
2018,Pycnonotus sinensis
2018,Alcedo atthis
2018,Accipiter virgatus
2018,Accipiter virgatus
2018,Zosterops simplex
2018,Psilopogon nuchalis
2018,Columba livia
2018,Streptopelia chinensis
2018,Alcedo atthis
2018,Cyanopica cyanus
2018,Psilopogon nuchalis
2018,Accipiter virgatus
2018,Psilopogon nuchalis
2018,Streptopelia chinensis
2018,Chalcophaps indica
2018,Acridotheres tristis
2018,Chalcophaps indica
2018,Accipiter trivirgatus
2018,Apus nipalensis
2018,Apus nipalensis
2018,Identified to Family: Columbidae
2018,Chalcophaps indica
2018,Chalcophaps indica
2018,Psilopogon nuchalis
2018,Alcedo atthis
2018,Lanius cristatus
2018,Alcedo atthis
2018,Psilopogon nuchalis
2018,Cuculus optatus
2018,Halcyon coromanda
2018,Anthus gustavi
2018,Passer montanus
2018,Lonchura striata
2018,Passer montanus
2018,Accipiter trivirgatus
2018,Pycnonotus sinensis
2018,Lonchura punctulata
2018,Locustella ochotensis
2018,Alcedo atthis
2018,Ninox japonica
2018,Alcedo atthis
2018,Myiomela leucura
2018,Streptopelia orientalis
2018,Accipiter trivirgatus
2018,Pycnonotus taivanus
2018,Psilopogon nuchalis
2018,Chalcophaps indica
2018,Halcyon coromanda
2018,Alcedo atthis
2018,Identified to Family: Columbidae
2018,Accipiter virgatus
2018,Emberiza elegans
2018,Calliope calliope
2018,Aplonis panayensis
2018,Psilopogon nuchalis
2018,Psilopogon nuchalis
2018,Horornis canturians
2018,Horornis canturians
2018,Turdus pallidus
2018,Turdus pallidus
2018,Turdus pallidus
2018,Turdus pallidus
2018,Turdus pallidus
2018,Accipiter trivirgatus
2018,Lophura swinhoii
2018,Psilopogon nuchalis
2018,Psilopogon nuchalis
2018,Dendrocitta formosae
2018,Psilopogon nuchalis
2018,Columba livia
2018,Turdus pallidus
2018,Accipiter virgatus
2018,Chalcophaps indica
2018,Pycnonotus sinensis
2018,Psilopogon nuchalis
2018,Streptopelia orientalis
2018,Psilopogon nuchalis
2018,Spilornis cheela
2018,Psilopogon nuchalis
2018,Lonchura striata
2018,Lonchura striata
2018,Lonchura striata
2018,Lonchura striata
2018,Streptopelia chinensis
2018,Identified to Class: Aves
2018,Lonchura punctulata
2018,Gorsachius melanolophus
2018,Alcedo atthis
2018,Prinia inornata
2018,Prinia inornata
2019,Psilopogon nuchalis
2019,Aethopyga christinae
2019,Streptopelia orientalis
2019,Emberiza spodocephala
2019,Emberiza spodocephala
2019,Psilopogon nuchalis
2019,Columba livia
2019,Alcedo atthis
2019,Psilopogon nuchalis
2019,Pycnonotus sinensis
2019,Psilopogon nuchalis
2019,Treron sieboldii
2019,Accipiter trivirgatus
2019,Psilopogon nuchalis
2019,Zosterops simplex
2019,Amaurornis phoenicurus
2019,Pycnonotus taivanus
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Psilopogon nuchalis
2019,Butastur indicus
2019,Psilopogon nuchalis
2019,Turdus chrysolaus
2019,Psilopogon nuchalis
2019,Accipiter trivirgatus
2019,Accipiter trivirgatus
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Hirundo rustica
2019,Streptopelia chinensis
2019,Streptopelia chinensis
2019,Psilopogon nuchalis
2019,Turdus pallidus
2019,Chalcophaps indica
2019,Zosterops simplex
2019,Turdus pallidus
2019,Accipiter trivirgatus
2019,Lophura swinhoii
2019,Hypothymis azurea
2019,Psilopogon nuchalis
2019,Streptopelia chinensis
2019,Hirundo rustica
2019,Streptopelia chinensis
2019,Streptopelia chinensis
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Gallinula chloropus
2019,Alcedo atthis
2019,Streptopelia chinensis
2019,Pica serica
2019,Otus lettia
2019,Passer montanus
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Passer montanus
2019,Pycnonotus taivanus
2019,Turdus obscurus
2019,Psilopogon nuchalis
2019,Streptopelia orientalis
2019,Streptopelia tranquebarica
2019,Pycnonotus sinensis
2019,Psilopogon nuchalis
2019,Myophonus insularis
2019,Turdus chrysolaus
2019,Accipiter gularis
2019,Turdus pallidus
2019,Psilopogon nuchalis
2019,Alcedo atthis
2019,Alcedo atthis
2019,Ficedula narcissina
2019,Ficedula narcissina
2019,Zosterops simplex
2019,Turdus chrysolaus
2019,Chalcophaps indica
2019,Streptopelia chinensis
2019,Pycnonotus sinensis
2019,Copsychus saularis
2019,Identified to Family: Laniidae
2019,Chalcophaps indica
2019,Accipiter gularis
2019,Turnix suscitator
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Ninox japonica
2019,Zosterops simplex
2019,Chalcophaps indica
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Passer montanus
2019,Columba livia
2019,Psilopogon nuchalis
2019,Streptopelia tranquebarica
2019,Streptopelia tranquebarica
2019,Streptopelia chinensis
2019,Accipiter soloensis
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Halcyon coromanda
2019,Halcyon coromanda
2019,Chalcophaps indica
2019,Gorsachius melanolophus
2019,Lanius cristatus
2019,Alcedo atthis
2019,Psilopogon nuchalis
2019,Pycnonotus sinensis
2019,Alcedo atthis
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Phylloscopus borealis complex
2019,Psilopogon nuchalis
2019,Halcyon coromanda
2019,Cuculus poliocephalus
2019,Psilopogon nuchalis
2019,Alcedo atthis
2019,Psilopogon nuchalis
2019,Alcedo atthis
2019,Halcyon coromanda
2019,Halcyon coromanda
2019,Chalcophaps indica
2019,Acridotheres javanicus
2019,Halcyon coromanda
2019,Accipiter trivirgatus
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Zosterops simplex
2019,Pycnonotus sinensis
2019,Pycnonotus sinensis
2019,Pycnonotus sinensis
2019,Cecropis striolata
2019,Passer montanus
2019,Zosterops simplex
2019,Sturnia sinensis
2019,Streptopelia chinensis
2019,Pycnonotus sinensis
2019,Turnix suscitator
2019,Lonchura punctulata
2019,Prinia inornata
2019,Treron sieboldii
2019,Turnix suscitator
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Passer montanus
2019,Nycticorax nycticorax
2019,Halcyon coromanda
2019,Alcedo atthis
2019,Ninox japonica
2019,Phasianus colchicus
2019,Chalcophaps indica
2019,Passer montanus
2019,Treron sieboldii
2019,Psilopogon nuchalis
2019,Chalcophaps indica
2019,Chalcophaps indica
2019,Zosterops simplex
2019,Chalcophaps indica
2019,Hirundo rustica
2019,Alcedo atthis
2019,Streptopelia orientalis
2019,Streptopelia chinensis
2019,Amaurornis phoenicurus
2019,Passer montanus
2019,Zosterops simplex
2019,Psilopogon nuchalis
2019,Streptopelia orientalis
2019,Alcedo atthis
2019,Streptopelia orientalis
2019,Streptopelia tranquebarica
2019,Streptopelia orientalis
2019,Identified to Class: Aves
2019,Passer montanus
2019,Psilopogon nuchalis
2019,Streptopelia tranquebarica
2019,Chalcophaps indica
2019,Passer montanus
2019,Streptopelia orientalis
2019,Chalcophaps indica
2019,Streptopelia chinensis
2019,Accipiter trivirgatus
2019,Chalcophaps indica
2019,Passer montanus
2019,Aplonis panayensis
2019,Streptopelia orientalis
2019,Gorsachius melanolophus
2019,Psilopogon nuchalis
2019,Accipiter trivirgatus
2019,Aplonis panayensis
2019,Streptopelia tranquebarica
2019,Heterophasia auricularis
2019,Alcedo atthis
2019,Chalcophaps indica
2019,Identified to Class: Aves
2019,Bambusicola sonorivox
2019,Alcedo atthis
2019,Alcedo atthis
2019,Lanius cristatus
2019,Lanius cristatus
2019,Streptopelia orientalis
2019,Streptopelia chinensis
2019,Alcedo atthis
2019,Treron sieboldii
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Accipiter soloensis
2019,Psilopogon nuchalis
2019,Alcedo atthis
2019,Psilopogon nuchalis
2019,Passer montanus
2019,Passer montanus
2019,Accipiter soloensis
2019,Zoothera aurea
2019,Hypsipetes leucocephalus
2019,Zoothera aurea
2019,Lanius cristatus
2019,Hypsipetes leucocephalus
2019,Psilopogon nuchalis
2019,Accipiter trivirgatus
2019,Alcedo atthis
2019,Locustella ochotensis
2019,Phylloscopus borealis complex
2019,Phylloscopus borealis
2019,Pycnonotus sinensis
2019,Phylloscopus borealis complex
2019,Halcyon coromanda
2019,Chalcophaps indica
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Hypsipetes leucocephalus
2019,Accipiter trivirgatus
2019,Acridotheres javanicus
2019,Chalcophaps indica
2019,Accipiter trivirgatus
2019,Psilopogon nuchalis
2019,Niltava vivida
2019,Chalcophaps indica
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Streptopelia orientalis
2019,Streptopelia orientalis
2019,Alcedo atthis
2019,Streptopelia orientalis
2019,Otus spilocephalus
2019,Streptopelia chinensis
2019,Psilopogon nuchalis
2019,Streptopelia tranquebarica
2019,Lonchura punctulata
2019,Phasianus colchicus
2019,Streptopelia orientalis
2019,Accipiter trivirgatus
2019,Streptopelia orientalis
2019,Alcedo atthis
2019,Aplonis panayensis
2019,Scolopax rusticola
2019,Passer montanus
2019,Monticola solitarius
2019,Myiomela leucura
2019,Dendrocitta formosae
2019,Zosterops simplex
2019,Urosphena squameiceps
2019,Zoothera aurea
2019,Ninox japonica
2019,Psilopogon nuchalis
2019,Accipiter virgatus
2019,Streptopelia tranquebarica
2019,Accipiter virgatus
2019,Streptopelia tranquebarica
2019,Accipiter trivirgatus
2019,Psilopogon nuchalis
2019,Accipiter trivirgatus
2019,Passer montanus
2019,Zoothera aurea
2019,Streptopelia chinensis
2019,Chalcophaps indica
2019,Accipiter trivirgatus
2019,Zoothera aurea
2019,Streptopelia orientalis
2019,Chalcophaps indica
2019,Passer montanus
2019,Accipiter virgatus
2019,Zoothera aurea
2019,Heterophasia auricularis
2019,Psilopogon nuchalis
2019,Streptopelia chinensis
2019,Accipiter trivirgatus
2019,Turdus chrysolaus
2019,Turdus pallidus
2019,Turdus pallidus
2019,Turdus pallidus
2019,Turdus pallidus
2019,Turdus pallidus
2019,Chalcophaps indica
2019,Zoothera dauma
2019,Zoothera aurea
2019,Streptopelia orientalis
2019,Turdus pallidus
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Zoothera sp.
2019,Zoothera aurea
2019,Pycnonotus sinensis
2019,Chalcophaps indica
2019,Passer montanus
2019,Turdus chrysolaus
2019,Passer montanus
2019,Treron sieboldii
2019,Chalcophaps indica
2019,Alcedo atthis
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Psilopogon nuchalis
2019,Zoothera aurea
2019,Zoothera aurea
2019,Turdus pallidus
2019,Alcedo atthis
2019,Chalcophaps indica
2019,Lonchura punctulata
2019,Accipiter trivirgatus
2019,Accipiter trivirgatus
2019,Gorsachius melanolophus
2019,Chalcophaps indica
2019,Streptopelia tranquebarica
2019,Zosterops simplex
2019,Psilopogon nuchalis
2019,Turdus pallidus
2019,Zosterops simplex
2019,Chalcophaps indica
2020,Copsychus malabaricus
2020,Pycnonotus sinensis
2020,Chalcophaps indica
2020,Psilopogon nuchalis
2020,Aplonis panayensis
2020,Streptopelia tranquebarica
2020,Turdus pallidus
2020,Pycnonotus sinensis
2020,Turdus pallidus
2020,Turdus pallidus
2020,Zoothera aurea
2020,Gorsachius melanolophus
2020,Glaucidium brodiei
2020,Glaucidium brodiei
2020,Turdus pallidus
2020,Psilopogon nuchalis
2020,Chalcophaps indica
2020,Psilopogon nuchalis
2020,Accipiter gularis
2020,Accipiter trivirgatus
2020,Pycnonotus sinensis
2020,Turdus pallidus
2020,Accipiter trivirgatus
2020,Zosterops simplex
2020,Accipiter trivirgatus
2020,Streptopelia sp.
2020,Alcedo atthis
2020,Streptopelia sp.
2020,Phasianus colchicus
2020,Turdus pallidus
2020,Identified to Family: Columbidae
2020,Psilopogon nuchalis
2020,Pycnonotus sinensis
2020,Psilopogon nuchalis
2020,Accipiter trivirgatus
2020,Chalcophaps indica
2020,Streptopelia orientalis
2020,Streptopelia chinensis
2020,Zoothera aurea
2020,Alcedo atthis
2020,Phasianus colchicus
2020,Turdus chrysolaus
2020,Hypsipetes leucocephalus
2020,Zoothera dauma
2020,Myiomela leucura
2020,Psilopogon nuchalis
2020,Chalcophaps indica
2020,Phylloscopus fuscatus
2020,Chalcophaps indica
2020,Copsychus malabaricus
2020,Psilopogon nuchalis
2020,Myophonus insularis
2020,Psilopogon nuchalis
2020,Zoothera aurea
2020,Turdus pallidus
2020,Psilopogon nuchalis
2020,Psilopogon nuchalis
2020,Psilopogon nuchalis
2020,Psilopogon nuchalis
2020,Columba livia
2020,Psilopogon nuchalis
2020,Zosterops simplex
2020,Zosterops simplex
2020,Hypsipetes leucocephalus
2020,Streptopelia tranquebarica
2020,Phasianus colchicus
2020,Streptopelia orientalis
2020,Streptopelia orientalis
2020,Streptopelia chinensis
2020,Psilopogon nuchalis
2020,Hypsipetes leucocephalus
2020,Alcedo atthis
2020,Chalcophaps indica
2020,Hirundo rustica
2020,Hypsipetes leucocephalus
2020,Hirundo rustica
2020,Psilopogon nuchalis
2020,Chalcophaps indica
2020,Hirundo rustica
2020,Lonchura striata
2020,Psilopogon nuchalis
2020,Chalcophaps indica
2020,Accipiter trivirgatus
2020,Scolopax rusticola
2020,Myiomela leucura
2020,Identified to Class: Aves
2020,Lonchura punctulata
2020,Lonchura punctulata
2020,Psilopogon nuchalis
2020,Cuculus poliocephalus
2020,Psilopogon nuchalis
2020,Psilopogon nuchalis
2020,Ninox japonica
2020,Bombycilla japonica
2020,Passer montanus
2020,Calliope calliope
2020,Niltava vivida
2020,Niltava vivida
2020,Accipiter virgatus
2020,Streptopelia tranquebarica
